abscond,to go away suddenly (to avoid arrest)
dangle,hand or swing loosely
negligent,taking too little care
implicit,implied though; not plainly expressed
perish,be destroyed decay
abhor,to hate; to detest
elaborate,worked out with much care in great detail
clientele,customers
strive,to make great efforts, to struggle"
solvent,of the power of forming a solution
permeate,spread into every part of
amalgamate,mix; combine; unite societies
grievous,causing grief or pain; serious dire grave
precursors,a person or thing that precedes, as in a process or job."
dexterity,skill (esp. in handling)
constrict,make tight or smaller
extralegal,outside the law
disproof,proof to the contrary
dullard,a stupid, insensitive person"
unscathed,unharmed unhurt
acclaimed,welcomed with shouts and approval
luminary,star; light-giving body
moribund,in a dying state; near death
refine,make or become pure cultural
inquest,Legal or judicial inquiry, especially before a jury and especially made by a coroner into the cause of someone.s death"
woo,try to win
treacherous,not to be trusted, perfidious"
derivative,unoriginal; obtained from another source
mischievous,harmful; causing mischief
perjury,willful FALSE statement unlawful act
vivacious,lively high-spirited
arcane,known or understood by very few
boisterous,noisy; restraint
yeoman,man owning small estate; middle-class farmer
apt,well-suited; quick-witted
edible,fit to be eaten/not poisonous
pivotal,of great importance (others depend on it)
recitals,a number of performance of music
pilferer,to steal, especially in small quantities"
gullible,easily gulled
ameliorate,improve; make better
allegiance,duty support loyalty
redeem,get back by payment compensate
connote,Suggest or imply in addition to the precise, literal meaning"
divergence,getting farther apart from a point
erratic,irregular in behaviour or opinion
euphoria,elation state of pleasant excitement
resuscitation,coming back to consciousness
agile,active; quick-moving
timid,shy easily frightened
succumb,yield, die"
xenophile (zen-uh-fahyl),a person who is attracted to foreign peoples cultures
indigenous,native
recuperate,become strong after illness loss exhaustion
vigorous,strong energetic
odor,smell
predominate,have more power than others
repel,refuse to accept/cause dislike
sawdust,tiny bits of wood
fragile,easily injured broken or destroyed
premature,doing or happening something before the right time
judicious,sound in judgment; wise
warrant,authority written order guarantee
adorn,add beauty; decorate
sponge,porous rubber for washing live at once expense
beguile,mislead or delude; cheat; pass time
retrospective,Looking back on past
abide,be faithful; to endure
introspection,examining one's own thoughts and feelings
gallant,brave,behaves well with women"
scent,smell (especially pleasant)
legacy,Bequest or inheritance
offhand,Without preparation or forethought
repulsive,causing a feeling of disgust
enzyme,catalyst
sanction,approval (by authority) penalty
disrobe,undress
catalyst,substance that causes speeding up
stray,wander lose one's way
chisel,steel tool for shaping materials
tadpole,form of a frog when it leaves the egg
Lambaste,attack verbally
correlate,have a mutual relation
misogynist,one who hates women/females
partisan,one-sided committed to a party biased or prejudiced
torque,twisting force causing rotation
sporadic,happening from time to time
cryptic,secret with a hidden meaning
mite,A very small amount, portion, or particle"
shallow,little depth; not earnest
jabber,talk excitedly; utter rapidly
riddle,puzzling person or thing
concur,agree in opinion happen together
connoisseur,a person with good judgement (e.g.. in art)
cordial,warm and sincere
impede,hinder; get in the way of
philanthropist,one who loves mankind
gait,a manner of walking, stepping, or running"
knit,draw together; unite firmly
fission,splitting or division (esp. of cells)
flimsy,lacking solidarity, strength"
appease,make quiet or calm
limp,lacking strength; walking unevenly
loll,rest to sit or stand in a lazy way hang (dog's tongue)
massacre,cruel killing of a large number of people
evoke,call up bring out
commemorate,keep the memory of
moderation,quality of being limited; not extreme
evasive,tending to evade
malevolent,malicious; evil; having or showing ill will
indulgent,inclined to indulge
drowsiness,feeling sleepy half asleep
aberration,straying away from what is normal
gerontocracy,government ruled by old people
pluck,pull the feathers off pick (e.g.. flowers)
invincible,too strong to be defeated
accolade,praise; approval
equilibrium,state of being balanced
renowned,celebrated; famous
indistinct,not easily heard; seen clearly marked
foolproof,incapable of failure or error
scribble,write hastily
turbulence,being uncontrollably violent
impromptu,without preparation
abysmal,extreme bad
patron,regular customer person who gives support
superimpose,put something on the top
dislodge,move force from the place occupied
acumen,Keen, quick, accurate insight or judgment"
enigma,something that is puzzling
paradigm,a model example or pattern
audacious,Bold
braggart,boastful
reiterate,say or do again several times
steeply,rising or falling sharply
satiate,satisfy fully
affinity,close connection; relationship
ambiguous,doubtful; uncertain
alleviate,make (pain) easier to bear
introvert,one who turns towards himself
ascend,go or come up
nihilism,total rejection of all religious and moral beliefs
heterogeneous,made up of different kinds
endeavor,to make an effort, to try very hard"
affable,polite and friendly
brittle,easily broken
articulate,speak distinctly; connect by joints
conceal,hide keep secret
sluggard,lazy slow-moving person
animosity,strong dislike
eloquence,fluent speaking skillful use of language
shard,A piece of broken pottery
engulf,swallow up
abstruse,difficult to comprehend; obscure
fidelity,loyalty accuracy
garrulous,too talkative
eulogy,formal praise panegyric
bogus,sham; counterfeit; not genuine
forgery,counterfeit
narcissism,Self-love
bewilder,puzzle; confuse
weigh,measure how heavy something is
stride,walk with long steps
shunned,avoided, kept away from"
surcharge,additional load/charge
reconcile,settle a quarrel restore peace
ambidextrous,able to use the left hand or the right equally well
ingest,take in by swallowing
complaisant,trying to please; obliging
eradicate,get rid of pull up by the roots
inclined,directing the mind in a certain direction
edify,instruct; correct morally
conjoin,to join together
antidote,medicine used against a poison or a disease
infuriate,fill with fury or rage
plea,request
calipers,metal supports attached to the legs measuring instrument
misanthrope,person who hates mankind
mesmerize,hypnotize
fleet,number of ships; quick-moving
apartheid,brutal racial discrimination
brass,yellow metal (mixing copper and zinc)
pest,destructive thing or a person who is nuisance
curriculum,course of study
tonic,something giving strength or energy
writ,written order
ambivalent,having both of two contrary meanings
combustion,process of burning
console,give comfort or sympathy to
dupe,cheat make a fool of
foster,nurture; care for
tractable,easily controlled or guided
defer,postpone
salvage,the saving of property from loss
clot,half-solid lump formed from liquid
extinct,no longer active
benefactor,person who has given help
hypocrisy,falsely making oneself appear to be good
retrograde,receding
livid,Furiously angry, enraged"
endorse,write one's name on the back of
turmoil,trouble disturbance
entice,attract, lure"
dwarf,person much smaller the usual size
auxiliary,helping; supporting
flop,fail/move/fall clumsily
spear,weapon with a metal point on a long shaft
ossified,turned to bone; hardened like bone; Inflexible
ail,to cause pain, uneasiness, or trouble to."
incongruous,out of place; not in harmony or agreement
opaqueness,dullness/not allowing light to pass through
alloy,to debase by mixing with something inferior
implosion,collapse; bursting inward
suffice,be enough
